X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745472.27000046	5205942.30999756	1845.11999512	339.000000	861.000000	499.000000	2097.000000	3488.000000	62	79	51
745471.84000015	5205941.50999451	1844.21997070	687.000000	1712.000000	1023.000000	3972.000000	6193.000000	136	169	112
745470.55999947	5205941.72999573	1846.55004883	255.000000	512.000000	346.000000	1175.000000	2441.000000	40	42	36
745471.96999931	5205943.17999268	1845.20996094	221.000000	758.000000	261.000000	1831.000000	3924.000000	28	68	30
745472.04000092	5205943.05000305	1844.31994629	264.000000	914.000000	401.000000	1957.000000	3559.000000	48	85	38
745471.47999954	5205943.60000610	1845.80004883	340.000000	888.000000	466.000000	1853.000000	3281.000000	57	82	51
745472.22999954	5205941.78999329	1844.41003418	698.000000	1286.000000	1100.000000	2671.000000	4204.000000	147	124	114
745471.34000015	5205943.42999268	1846.98999023	411.000000	1010.000000	540.000000	2210.000000	4139.000000	67	95	63
745470.31999969	5205943.02999878	1846.18994141	197.000000	507.000000	266.000000	1429.000000	3155.000000	28	42	26
745472.03000069	5205943.50999451	1844.58996582	286.000000	731.000000	457.000000	1605.000000	3216.000000	56	65	41
745471.84000015	5205941.60000610	1844.61999512	594.000000	1417.000000	850.000000	3257.000000	5149.000000	112	138	96
745472.27000046	5205942.11999512	1844.56005859	393.000000	704.000000	722.000000	1514.000000	2620.000000	93	63	60
745470.19000053	5205941.35000610	1844.16003418	773.000000	1577.000000	1351.000000	3484.000000	5463.000000	183	155	127
745471.94000053	5205943.47000122	1845.45996094	246.000000	867.000000	323.000000	2180.000000	4034.000000	36	80	34
745472.02000046	5205943.07000732	1844.86999512	303.000000	798.000000	312.000000	1933.000000	4105.000000	35	73	44
745472.72999954	5205942.63000488	1844.00000000	660.000000	1078.000000	1189.000000	2198.000000	3374.000000	160	102	107
745471.31999969	5205944.02000427	1844.75000000	224.000000	602.000000	399.000000	1612.000000	3091.000000	47	52	31
745471.42000008	5205943.80999756	1845.17004395	169.000000	381.000000	244.000000	1062.000000	2236.000000	25	28	21
745472.00000000	5205943.16999817	1845.81005859	282.000000	885.000000	345.000000	2029.000000	4429.000000	40	82	41
745470.38999939	5205942.47999573	1844.60998535	372.000000	978.000000	609.000000	2270.000000	3975.000000	77	92	57
745470.35000038	5205942.55999756	1846.47998047	230.000000	444.000000	294.000000	1282.000000	2635.000000	32	35	32
745470.39999962	5205942.52000427	1845.47998047	235.000000	615.000000	330.000000	1637.000000	3485.000000	37	53	32
745471.05999947	5205943.61999512	1845.85998535	235.000000	781.000000	303.000000	1909.000000	3805.000000	34	71	32
745470.32999992	5205942.47999573	1846.80004883	148.000000	435.000000	260.000000	1217.000000	2690.000000	27	34	17
745471.71999931	5205941.38999939	1844.20996094	598.000000	2012.000000	821.000000	4607.000000	7368.000000	107	201	96
745471.26000023	5205943.44999695	1846.56005859	319.000000	818.000000	401.000000	2041.000000	3945.000000	48	75	47
745472.15999985	5205942.02999878	1845.47998047	371.000000	928.000000	466.000000	2288.000000	4154.000000	57	86	56
745472.05999947	5205941.91999817	1844.58996582	376.000000	785.000000	532.000000	1756.000000	3572.000000	66	71	57
745471.65999985	5205944.22000122	1844.77001953	176.000000	566.000000	215.000000	1420.000000	3102.000000	21	48	22
