X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745527.01000023	5205918.16999817	1836.26000977	993.000000	1136.000000	1062.000000	1630.000000	2538.000000	142	108	166
745526.98999977	5205919.16000366	1834.98999023	400.000000	792.000000	488.000000	1617.000000	3192.000000	60	72	61
745527.88999939	5205918.94000244	1834.57995605	494.000000	733.000000	676.000000	1274.000000	2138.000000	87	66	78
745528.12999916	5205918.94999695	1834.53002930	939.000000	984.000000	988.000000	1928.000000	3150.000000	131	92	156
745527.40999985	5205917.33000183	1832.23999023	686.000000	872.000000	823.000000	1714.000000	2873.000000	108	80	112
745527.71999931	5205918.98999786	1834.31005859	331.000000	858.000000	383.000000	1818.000000	3490.000000	45	79	49
745527.45999908	5205917.41000366	1832.41003418	774.000000	994.000000	934.000000	1801.000000	2934.000000	124	93	127
745527.46999931	5205918.93000031	1833.65002441	338.000000	524.000000	414.000000	1092.000000	2122.000000	49	44	51
745528.35000038	5205918.31999969	1833.04003906	215.000000	417.000000	322.000000	988.000000	1746.000000	36	32	29
745528.27000046	5205918.22000122	1831.28002930	373.000000	641.000000	501.000000	1038.000000	2263.000000	62	56	57
745528.19000053	5205916.94000244	1831.15002441	643.000000	1036.000000	757.000000	2339.000000	3940.000000	98	98	104
745526.98999977	5205917.76999664	1832.88000488	786.000000	1011.000000	920.000000	1759.000000	2703.000000	122	95	129
745527.06999969	5205917.84999847	1833.66003418	762.000000	972.000000	984.000000	1721.000000	2645.000000	131	91	125
745526.54999924	5205917.15000153	1830.19995117	745.000000	1831.000000	866.000000	4219.000000	7149.000000	114	182	122
745527.96999931	5205917.25000000	1832.10998535	246.000000	513.000000	426.000000	1441.000000	2881.000000	51	42	34
745527.65999985	5205918.51000214	1836.40002441	1223.000000	1454.000000	1380.000000	2087.000000	3334.000000	187	142	206
745527.12999916	5205918.51000214	1836.56994629	1348.000000	1871.000000	1490.000000	2712.000000	4844.000000	203	186	228
745528.09000015	5205917.63999939	1833.14001465	562.000000	634.000000	677.000000	1439.000000	2169.000000	87	55	90
745527.39999962	5205917.62000275	1835.00000000	737.000000	1137.000000	885.000000	2464.000000	3994.000000	117	109	121
745528.06999969	5205917.15000153	1831.44995117	657.000000	2002.000000	756.000000	4565.000000	7292.000000	98	200	107
745527.34000015	5205917.18000031	1832.21997070	760.000000	918.000000	919.000000	1551.000000	2655.000000	121	85	125
745526.88999939	5205917.97000122	1831.43005371	552.000000	1211.000000	688.000000	2572.000000	4333.000000	89	116	88
745527.46999931	5205918.93000031	1833.65002441	338.000000	524.000000	414.000000	1092.000000	2122.000000	49	44	51
745527.73999977	5205918.93000031	1834.19995117	326.000000	585.000000	407.000000	1259.000000	2417.000000	48	50	48
745528.20999908	5205918.59999847	1834.66003418	632.000000	886.000000	744.000000	1711.000000	2895.000000	96	82	102
745528.15999985	5205918.48000336	1830.36999512	238.000000	937.000000	283.000000	2316.000000	4670.000000	31	87	33
745527.42000008	5205917.62999725	1834.13000488	740.000000	1376.000000	940.000000	3091.000000	4747.000000	124	134	121
745528.13999939	5205917.16999817	1831.50000000	575.000000	1565.000000	689.000000	3538.000000	5865.000000	89	154	92
745526.95000076	5205918.27999878	1835.44995117	467.000000	689.000000	587.000000	1300.000000	2332.000000	74	61	73
745526.39999962	5205918.44999695	1833.89001465	520.000000	1114.000000	551.000000	2650.000000	4319.000000	69	106	83
745527.32999992	5205917.93000031	1836.56994629	1370.000000	1502.000000	1503.000000	2168.000000	3081.000000	205	147	232
745528.10000038	5205917.69000244	1833.84997559	618.000000	1029.000000	747.000000	1975.000000	3551.000000	97	97	100
745526.68000031	5205918.11000061	1834.18005371	739.000000	839.000000	886.000000	1323.000000	2032.000000	117	77	121
745526.70000076	5205918.08000183	1832.47998047	524.000000	1214.000000	632.000000	2579.000000	4223.000000	81	117	83
745528.09000015	5205918.81999969	1834.83996582	653.000000	851.000000	795.000000	1356.000000	2317.000000	104	78	106
745527.65999985	5205917.51000214	1834.17004395	908.000000	1207.000000	1117.000000	2026.000000	2944.000000	150	116	151
745527.86000061	5205917.91999817	1835.25000000	619.000000	868.000000	790.000000	1542.000000	2529.000000	103	80	100
745527.76000023	5205918.12999725	1836.08996582	734.000000	945.000000	870.000000	1693.000000	2776.000000	114	88	120
745528.28000069	5205917.97000122	1832.56994629	424.000000	650.000000	620.000000	910.000000	2062.000000	79	57	66
